"sweep","tile","loaded_cubes","core_cubes","active_charts","charts_moved","overlap_before","overlap_after","welds_torn","seconds"
"1","z00_y00_x00","54","26","427","224","236604","169246","167","3.19"
"1","z00_y00_x03","80","36","1201","499","484037","409957","351","7.492"
"1","z00_y00_x06","80","36","605","439","748126","456730","240","5.206"
"1","z00_y00_x09","80","36","286","17","300969","259491","55","2.129"
"1","z00_y00_x12","80","36","295","17","46287","32144","23","1.512"
"1","z00_y00_x15","80","36","270","14","18976","6454","11","1.457"
"1","z00_y00_x18","64","36","317","16","24323","11641","5","1.344"
"1","z00_y03_x00","80","36","999","98","505374","429751","191","6.241"
"1","z00_y03_x03","100","36","1034","693","223597","165791","528","8.69"
"1","z00_y03_x06","100","36","508","295","257679","171068","216","5.704"
"1","z00_y03_x09","100","36","358","67","370049","265247","85","3.153"
"1","z00_y03_x12","100","36","305","34","81686","58875","56","1.872"
"1","z00_y03_x15","100","36","308","15","66852","51553","23","1.877"
"1","z00_y03_x18","80","36","317","22","63562","41328","14","1.904"
"1","z00_y06_x00","80","36","954","453","991193","625346","327","7.426"
"1","z00_y06_x03","100","36","809","243","392811","312758","286","6.157"
"1","z00_y06_x06","100","36","368","101","184557","139333","100","3.767"
"1","z00_y06_x09","100","36","356","19","243322","180860","45","3.112"
"1","z00_y06_x12","100","36","257","16","72774","56697","17","1.551"
"1","z00_y06_x15","100","36","221","10","76566","66565","16","1.41"
"1","z00_y06_x18","80","36","285","22","119733","85601","19","1.556"
"1","z00_y09_x00","80","36","763","242","973391","660852","236","6.435"
"1","z00_y09_x03","100","36","618","159","462528","212843","121","4.631"
"1","z00_y09_x06","100","36","294","19","212811","162428","17","2.715"
"1","z00_y09_x09","100","36","282","237","100533","48163","125","2.323"
"1","z00_y09_x12","100","36","200","18","17429","17913","36","1.385"
"1","z00_y09_x15","100","36","187","19","34041","25903","10","1.295"
"1","z00_y09_x18","80","36","295","52","88691","17517","42","1.633"
"1","z00_y12_x00","80","36","522","110","703646","557508","120","3.751"
"1","z00_y12_x03","100","36","377","130","286642","281838","127","3.551"
"1","z00_y12_x06","100","36","261","58","176903","159217","92","2.273"
"1","z00_y12_x09","100","36","328","55","139978","81608","106","2.8"
"1","z00_y12_x12","100","36","362","72","118484","88191","65","2.411"
"1","z00_y12_x15","100","36","284","64","119589","116321","39","2.043"
"1","z00_y12_x18","80","36","300","130","100684","99515","81","2.062"
"1","z00_y15_x00","80","36","498","90","671020","295660","70","6.267"
"1","z00_y15_x03","100","36","494","182","384885","273785","166","5.422"
"1","z00_y15_x06","100","36","582","118","414413","310690","144","4.18"
"1","z00_y15_x09","100","36","536","91","365353","303280","159","4.285"
"1","z00_y15_x12","100","36","402","31","318957","277046","53","3.177"
"1","z00_y15_x15","100","36","313","53","180415","161897","69","1.997"
"1","z00_y15_x18","80","36","261","44","136412","88810","46","1.489"
"1","z00_y18_x00","62","35","594","138","252672","163778","62","2.886"
"1","z00_y18_x03","76","33","426","55","320396","291244","139","2.982"
"1","z00_y18_x06","74","33","503","144","251026","142560","132","2.315"
"1","z00_y18_x09","68","29","535","265","88418","43897","123","2.335"
"1","z00_y18_x12","60","22","339","210","129455","71588","87","1.59"
"1","z00_y18_x15","59","24","181","31","79331","60728","57","0.788"
"1","z00_y18_x18","48","24","155","15","19868","10695","9","0.557"
