group,color,action,charts,faces,vertices,mean_radius,radius_spread,circumference,wraps,shift_u,shift_v,overlap_before,overlap_after,intra_overlap,intra_wrongwind
0,#3f3f3f,settled,213,47996,28142,616.358,240.114,3872.69,0,0,0,132121,132121,146522,123734
1,#bb9466,settled,35,10850,6131,647.96,220.54,4071.25,0,0,0,118621,118621,525,0
2,#84e98c,settled,246,59806,34706,586.756,498.786,3686.7,0,0,0,489512,489512,113320,93405
3,#4d8cb3,settled,28,8155,4637,661.243,223.915,4154.71,0,0,0,90201,90201,403,0
4,#c8e0da,settled,3,478,289,790.755,45.6751,4968.46,0,0,0,0,0,0,0
5,#91824e,settled,106,28908,16574,587.419,511.019,3690.86,0,0,0,331597,331597,6009,1599
6,#5ad874,settled,3,325,214,803.668,22.1379,5049.6,0,0,0,0,0,0,0
7,#d6799c,settled,252,63060,36470,559.692,543.592,3516.65,0,0,0,4839,4839,131096,102828
8,#9ecfc2,settled,412,95519,55534,520.711,630.064,3271.72,0,0,0,778,778,431842,389827
9,#6771e9,settled,134,32402,18766,490.628,695.038,3082.71,0,0,0,610,610,59014,53122
10,#e3c65d,settled,1,59,49,574.334,17.5584,3608.65,0,0,0,0,0,0,0
11,#ac6884,settled,147,31695,18533,478.086,694.21,3003.9,0,0,0,2270,2270,9126,6697
12,#74bdaa,settled,153,32205,18942,462.187,685.756,2904.01,0,0,0,119499,119499,8853,6610
13,#f05fd2,settled,973,198161,117018,387.115,768.756,2432.32,0,0,0,547552,547552,648957,562119
14,#b9b445,settled,1,78,50,613.23,6.78384,3853.04,0,0,0,0,0,0,0
15,#82566c,settled,1,71,47,417.797,2.61444,2625.1,0,0,0,288,288,0,0
16,#4aac93,settled,130,29130,16990,373.965,693.221,2349.69,0,0,0,56431,56431,3090,1137
17,#c64dba,settled,656,143931,84351,466.233,794.922,2929.43,0,0,0,303550,303550,119638,104762
18,#8fa3e0,settled,1,67,47,629.2,37.7448,3953.38,0,0,0,10,10,0,0
19,#584554,settled,13,3010,1760,702.407,173.5,4413.35,0,0,0,10,10,68,2
20,#d49a7b,settled,1676,379312,221127,316.926,712.946,1991.31,0,0,0,842440,842440,508678,438124
21,#9cefa1,settled,1,20,22,803.804,25.7624,5050.45,0,0,0,0,0,0,0
22,#6591c8,settled,1,37,31,422.08,2.30738,2652,0,0,0,0,0,0,0
23,#e1e6ef,settled,1,141,90,418.449,3.71267,2629.19,0,0,0,312,312,0,0
24,#aa8863,settled,1,38,27,332.91,0.866099,2091.74,0,0,0,38,38,0,0
25,#72dd89,settled,1,115,70,517.661,0.927169,3252.56,0,0,0,127,127,0,0
26,#ee7fb1,settled,2,228,143,541.706,32.9484,3403.64,0,0,0,398,398,0,0
27,#b7d4d7,settled,2,135,100,472.783,21.5398,2970.58,0,0,0,190,190,15,0
28,#80774b,settled,1,28,23,133.107,6.01574,836.334,0,0,0,0,0,0,0
29,#48cc72,settled,2,40,39,130.416,12.9444,819.428,0,0,0,0,0,10,0
30,#c46d99,settled,1,75,50,129.278,7.94801,812.281,0,0,0,0,0,0,0
31,#8dc3bf,settled,1,33,24,547.786,1.92799,3441.84,0,0,0,95,95,0,0
32,#5665e7,settled,1,372,214,191.224,3.02299,1201.5,0,0,0,0,0,0,0
33,#d2ba5a,settled,1,30,24,29.8604,31.2262,187.619,0,0,0,0,0,0,0
34,#9a5c81,settled,2,76,60,203.004,31.4579,1275.51,0,0,0,0,0,19,3
35,#63b1a8,settled,168,42532,24518,584.581,510.793,3673.03,0,0,0,510268,510268,4562,1870
36,#df53cf,settled,1,7,9,703.157,9.99484,4418.07,0,0,0,0,0,0,0
37,#a8a842,settled,1,9,11,704.177,9.72305,4424.48,0,0,0,0,0,0,0
38,#704a69,settled,1,12,14,583.008,12.8956,3663.15,0,0,0,64,64,0,0
39,#ec9f90,settled,1312,305104,177878,654.983,614.828,4115.38,0,0,0,1050400,1050400,1348320,1199652
40,#b541b7,settled,1,62,44,462.252,13.779,2904.41,0,0,0,153,153,0,0
41,#7e97dd,settled,4,321,222,542.325,110.846,3407.53,0,0,0,0,0,20,0
42,#46ec51,settled,1,130,81,583.027,7.08308,3663.27,0,0,0,0,0,0,0
43,#c28e78,settled,6,920,556,549.159,31.5496,3450.47,0,0,0,0,0,68,0
44,#8be39e,settled,4,290,199,446.497,27.4518,2805.42,0,0,0,0,0,105,0
45,#5485c6,settled,1,227,134,494.283,4.53237,3105.67,0,0,0,0,0,0,0
46,#cfdaec,settled,1,32,27,495.541,2.54199,3113.58,0,0,0,0,0,0,0
