group,color,action,charts,faces,vertices,mean_radius,radius_spread,circumference,wraps,shift_u,shift_v,overlap_before,overlap_after,intra_overlap,intra_wrongwind
0,#3f3f3f,settled,28,6244,3674,1600.17,148,10054.1,0,0,0,56,56,661,31
1,#bb9466,settled,10144,1997416,1191236,1225.44,1128.35,7699.69,0,0,0,563112,563112,18906185,18358330
2,#84e98c,settled,2,52,56,1644.7,23.3488,10333.9,0,0,0,0,0,0,0
3,#4d8cb3,settled,1,67,49,1664.36,10.3655,10457.5,0,0,0,0,0,0,0
4,#c8e0da,settled,1,30,26,1669.4,8.65606,10489.1,0,0,0,0,0,0,0
5,#91824e,settled,1,25,23,1670.78,3.66417,10497.8,0,0,0,0,0,0,0
6,#5ad874,settled,1,33,35,1629.69,5.45334,10239.7,0,0,0,0,0,0,0
7,#d6799c,settled,1,42,36,1673.14,5.79399,10512.6,0,0,0,0,0,0,0
8,#9ecfc2,settled,1,13,14,1668.89,4.40772,10485.9,0,0,0,0,0,0,0
9,#6771e9,settled,2,70,58,1579.53,13.8187,9924.48,0,0,0,566,566,0,0
10,#e3c65d,settled,1,66,49,1568.86,12.1616,9857.45,0,0,0,498,498,0,0
11,#ac6884,settled,1,13,14,1573.84,2.27279,9888.75,0,0,0,42,42,0,0
12,#74bdaa,settled,1,142,87,1555.5,4.23058,9773.51,0,0,0,0,0,0,0
13,#f05fd2,settled,1,15,16,1544.95,2.04071,9707.22,0,0,0,85,85,0,0
14,#b9b445,settled,1,62,45,1540.54,4.37862,9679.49,0,0,0,0,0,0,0
15,#82566c,settled,1,66,50,1552.89,10.8125,9757.13,0,0,0,742,742,0,0
16,#4aac93,settled,1,72,50,1541.11,9.84842,9683.1,0,0,0,581,581,0,0
17,#c64dba,settled,1,47,38,1557.68,15.4089,9787.18,0,0,0,427,427,0,0
18,#8fa3e0,settled,1,41,31,1566.36,4.92122,9841.73,0,0,0,0,0,0,0
19,#584554,settled,1,65,49,1593.12,25.6256,10009.9,0,0,0,0,0,0,0
20,#d49a7b,settled,1,57,49,1570.85,9.90542,9869.97,0,0,0,0,0,0,0
21,#9cefa1,settled,1,69,48,1574.57,7.18609,9893.3,0,0,0,0,0,0,0
22,#6591c8,settled,1,42,33,1564.01,2.06609,9826.95,0,0,0,235,235,0,0
23,#e1e6ef,settled,1,18,18,1576.29,1.99819,9904.11,0,0,0,32,32,0,0
24,#aa8863,settled,2,381,233,1524.29,72.5098,9577.4,0,0,0,0,0,0,0
25,#72dd89,settled,1,54,42,1452.81,56.6528,9128.25,0,0,0,156,156,0,0
26,#ee7fb1,settled,1,56,43,1422.42,5.14698,8937.3,0,0,0,127,127,0,0
27,#b7d4d7,settled,1,14,13,1431.84,2.78226,8996.54,0,0,0,0,0,0,0
28,#80774b,settled,1,40,36,1463.62,34.6948,9196.17,0,0,0,0,0,0,0
29,#48cc72,settled,2,161,116,1360.43,67.0575,8547.81,0,0,0,10994,10994,0,0
30,#c46d99,settled,2,108,81,1380.51,32.3478,8673.99,0,0,0,9,9,18,0
31,#8dc3bf,settled,1,73,50,1408.86,32.8768,8852.13,0,0,0,5441,5441,0,0
32,#5665e7,settled,1,13,14,1401.44,15.4194,8805.5,0,0,0,658,658,0,0
33,#d2ba5a,settled,1,213,127,1412.86,6.32635,8877.25,0,0,0,4019,4019,0,0
34,#9a5c81,settled,1,17,21,1383.52,9.71124,8692.94,0,0,0,553,553,0,0
35,#63b1a8,settled,1,22,22,1420.63,2.04678,8926.11,0,0,0,0,0,0,0
36,#df53cf,settled,1,39,32,1433.7,7.78415,9008.23,0,0,0,0,0,0,0
37,#a8a842,settled,1,12,14,1429,2.57047,8978.67,0,0,0,0,0,0,0
38,#704a69,settled,1,70,50,1441.81,35.844,9059.15,0,0,0,5452,5452,0,0
39,#ec9f90,settled,1,68,47,1418.67,14.6018,8913.79,0,0,0,2387,2387,0,0
40,#b541b7,settled,1,8,9,1413.18,0.894283,8879.27,0,0,0,156,156,0,0
41,#7e97dd,settled,1,15,15,1387.48,5.84014,8717.78,0,0,0,0,0,0,0
42,#46ec51,settled,1,8,10,1382.07,6.26161,8683.8,0,0,0,0,0,0,0
43,#c28e78,settled,1,15,15,1374.01,4.47369,8633.17,0,0,0,0,0,0,0
44,#8be39e,settled,1,107,76,1393.95,48.8233,8758.44,0,0,0,13,13,0,0
45,#5485c6,settled,1,30,25,1367.93,1.98798,8594.96,0,0,0,0,0,0,0
46,#cfdaec,settled,1,71,50,1359.86,50.6757,8544.23,0,0,0,13,13,0,0
47,#987c60,settled,1,34,28,1358.27,2.74263,8534.29,0,0,0,0,0,0,0
48,#61d287,settled,1,13,13,1401.43,1.52785,8805.46,0,0,0,0,0,0,0
49,#dd73ae,settled,1,73,50,1386.84,10.7241,8713.8,0,0,0,0,0,0,0
50,#a5c8d4,settled,1,68,49,1294.08,13.5242,8130.97,0,0,0,0,0,0,0
51,#6e6b48,settled,2,293,189,1420.15,18.2678,8923.09,0,0,0,440,440,37,0
52,#eabf6f,settled,1,76,50,1399.43,9.50105,8792.88,0,0,0,161,161,0,0
53,#b36296,settled,1,72,50,1661.15,5.04389,10437.3,0,0,0,112,112,0,0
54,#7bb7bd,settled,1,60,50,1668.05,6.23272,10480.7,0,0,0,74,74,0,0
55,#4459e4,settled,1,48,42,1690.54,3.12173,10621.9,0,0,0,110,110,0,0
56,#c0ae57,settled,16,3058,1826,1790.67,188.451,11251.1,0,0,0,0,0,1350,780
57,#89507e,settled,9,2233,1286,1814.26,155.21,11399.3,0,0,0,27,27,54,0
58,#51a5a5,settled,6,1668,960,1824.22,149.951,11461.9,0,0,0,0,0,31,0
59,#cd47cc,settled,3,595,354,1839.37,139.838,11557.1,0,0,0,1479,1479,0,0
60,#969c3f,settled,3,507,301,1849.11,110.458,11618.3,0,0,0,1474,1474,2,0
61,#5ff266,settled,1,21,19,1773.6,1.76614,11143.9,0,0,0,27,27,0,0
62,#db938d,settled,1,22,20,1880.79,2.83682,11817.3,0,0,0,49,49,0,0
63,#a3e9b3,settled,1,235,137,1868.52,79.3531,11740.2,0,0,0,0,0,0,0
64,#6c8bdb,settled,1,108,68,1881.97,51.3255,11824.8,0,0,0,0,0,0,0
65,#e8e04e,settled,1,74,50,1899.24,23.8916,11933.3,0,0,0,0,0,0,0
66,#b18275,settled,1,55,46,1593.38,5.32934,10011.5,0,0,0,0,0,0,0
67,#79d79c,settled,2,251,165,1588.58,11.1589,9981.31,0,0,0,0,0,31,0
68,#4279c3,settled,1,62,49,1602.36,5.77588,10068,0,0,0,0,0,0,0
69,#becee9,settled,1,16,15,1534.5,3.37979,9641.55,0,0,0,7,7,0,0
70,#87705d,settled,1,71,50,1473.73,7.68136,9259.75,0,0,0,0,0,0,0
71,#4fc684,settled,2,189,125,1484.91,10.1366,9329.94,0,0,0,80,80,4,0
72,#cb67ab,settled,1,48,34,1565.47,3.19909,9836.12,0,0,0,56,56,0,0
73,#94bdd2,settled,1,37,33,1518.72,2.31661,9542.39,0,0,0,232,232,0,0
74,#5d5f46,settled,1,41,32,1518.03,3.28036,9538.05,0,0,0,320,320,0,0
75,#d9b36c,settled,1,50,37,1496.44,3.87505,9402.42,0,0,0,246,246,0,0
76,#a15693,settled,1,134,89,1491.34,4.89892,9370.38,0,0,0,166,166,0,0
77,#6aabba,settled,1,52,45,1512.95,13.2544,9506.18,0,0,0,285,285,0,0
78,#e64de1,settled,1,46,32,1494.22,2.47583,9388.46,0,0,0,40,40,0,0
79,#afa254,settled,1,18,15,1494.28,2.80337,9388.82,0,0,0,26,26,0,0
80,#77447b,settled,1,42,38,1492.76,4.96895,9379.3,0,0,0,54,54,0,0
81,#409aa2,settled,1,168,111,1493.91,3.92084,9386.5,0,0,0,209,209,0,0
82,#bceec8,settled,1,68,49,1499.26,8.0243,9420.14,0,0,0,507,507,0,0
83,#8590f0,settled,1,11,11,1522.43,2.13257,9565.74,0,0,0,65,65,0,0
84,#4de663,settled,1,72,50,1462.47,21.2691,9188.95,0,0,0,0,0,0,0
85,#c9878a,settled,1,53,38,1542.86,3.51536,9694.07,0,0,0,0,0,0,0
86,#92ddb1,settled,1,62,44,1538.93,3.18501,9669.39,0,0,0,0,0,0,0
87,#5b7fd8,settled,1,69,50,1348.1,3.75058,8470.37,0,0,0,0,0,0,0
88,#d6d44b,settled,1,85,57,1375.74,3.50448,8644,0,0,0,0,0,0,0
89,#9f7672,settled,1,34,26,1376.15,4.70721,8646.61,0,0,0,0,0,0,0
90,#68cb99,settled,1,14,14,1375.62,8.24081,8643.27,0,0,0,0,0,0,0
91,#e46dc0,settled,1,103,85,1371.66,4.80355,8618.41,0,0,0,0,0,0,0
92,#acc2e7,settled,1,19,18,1382.53,1.09151,8686.67,0,0,0,9,9,0,0
93,#75645b,settled,1,21,20,1352.67,2.18575,8499.05,0,0,0,0,0,0,0
94,#f1b981,settled,1,74,54,1354.03,3.76367,8507.64,0,0,0,0,0,0,0
95,#ba5ba8,settled,1,56,41,1313.37,2.66839,8252.17,0,0,0,0,0,0,0
96,#82b1cf,settled,1,74,56,1311.98,2.34315,8243.4,0,0,0,0,0,0,0
97,#4b5343,settled,1,29,22,1313.01,1.90348,8249.9,0,0,0,17,17,0,0
98,#c7a869,settled,1,22,23,1312.02,2.05003,8243.65,0,0,0,0,0,0,0
99,#904a90,settled,1,21,20,1311.9,2.89808,8242.89,0,0,0,17,17,0,0
100,#589fb7,settled,1,14,14,1290.21,1.90534,8106.66,0,0,0,0,0,0,0
101,#d441de,settled,1,28,24,1313.39,2.54314,8252.29,0,0,0,560,560,0,0
102,#9d9651,settled,1,35,34,1315,3.80365,8262.36,0,0,0,840,840,0,0
103,#66eb78,settled,1,38,31,1317.32,2.3877,8276.99,0,0,0,876,876,0,0
104,#e28d9f,settled,1,26,20,1283.18,1.72501,8062.47,0,0,0,0,0,0,0
105,#aae2c6,settled,3,202,141,1264.05,55.3827,7942.23,0,0,0,103,103,17,3
106,#7385ed,settled,1,11,13,1225.75,1.10728,7701.64,0,0,0,0,0,0,0
